"N_EFF_Scenario","Rt","CFR_Crisis","VSL","Economic_Loss_BUSD"
5e+06,3.1,0.7,3,3715.98387096774
5e+06,3.1,0.7,5,6193.3064516129
5e+06,3.1,0.75,1,1320.45967741935
5e+06,3.1,0.75,3,3961.37903225807
5e+06,3.1,0.75,5,6602.29838709678
5e+06,3.1,0.8,1,1402.25806451613
5e+06,3.1,0.8,3,4206.77419354839
5e+06,3.1,0.8,5,7011.29032258065
5e+06,3.1,0.85,1,1484.0564516129
5e+06,3.1,0.85,3,4452.16935483871
5e+06,3.1,0.85,5,7420.28225806452
5e+06,3.5,0.5,1,961.071428571429
5e+06,3.5,0.5,3,2883.21428571429
5e+06,3.5,0.5,5,4805.35714285714
5e+06,3.5,0.55,1,1047.32142857143
5e+06,3.5,0.55,3,3141.96428571429
5e+06,3.5,0.55,5,5236.60714285714
5e+06,3.5,0.6,1,1133.57142857143
5e+06,3.5,0.6,3,3400.71428571429
5e+06,3.5,0.6,5,5667.85714285714
5e+06,3.5,0.65,1,1219.82142857143
5e+06,3.5,0.65,3,3659.46428571429
5e+06,3.5,0.65,5,6099.10714285714
5e+06,3.5,0.7,1,1306.07142857143
5e+06,3.5,0.7,3,3918.21428571429
5e+06,3.5,0.7,5,6530.35714285714
5e+06,3.5,0.75,1,1392.32142857143
5e+06,3.5,0.75,3,4176.96428571429
5e+06,3.5,0.75,5,6961.60714285714
5e+06,3.5,0.8,1,1478.57142857143
5e+06,3.5,0.8,3,4435.71428571429
5e+06,3.5,0.8,5,7392.85714285714
5e+06,3.5,0.85,1,1564.82142857143
5e+06,3.5,0.85,3,4694.46428571429
5e+06,3.5,0.85,5,7824.10714285714
7500000,1.1,0.5,1,183.477272727273
7500000,1.1,0.5,3,550.431818181818
7500000,1.1,0.5,5,917.386363636364
7500000,1.1,0.55,1,199.943181818182
7500000,1.1,0.55,3,599.829545454546
7500000,1.1,0.55,5,999.715909090909
7500000,1.1,0.6,1,216.409090909091
7500000,1.1,0.6,3,649.227272727273
7500000,1.1,0.6,5,1082.04545454545
7500000,1.1,0.65,1,232.875
7500000,1.1,0.65,3,698.625
7500000,1.1,0.65,5,1164.375
7500000,1.1,0.7,1,249.340909090909
7500000,1.1,0.7,3,748.022727272727
7500000,1.1,0.7,5,1246.70454545455
7500000,1.1,0.75,1,265.806818181818
7500000,1.1,0.75,3,797.420454545455
7500000,1.1,0.75,5,1329.03409090909
7500000,1.1,0.8,1,282.272727272727
7500000,1.1,0.8,3,846.818181818182
7500000,1.1,0.8,5,1411.36363636364
7500000,1.1,0.85,1,298.738636363636
7500000,1.1,0.85,3,896.215909090909
7500000,1.1,0.85,5,1493.69318181818
7500000,1.5,0.5,1,672.75
7500000,1.5,0.5,3,2018.25
7500000,1.5,0.5,5,3363.75
7500000,1.5,0.55,1,733.125
7500000,1.5,0.55,3,2199.375
7500000,1.5,0.55,5,3665.625
7500000,1.5,0.6,1,793.5
7500000,1.5,0.6,3,2380.5
7500000,1.5,0.6,5,3967.5
7500000,1.5,0.65,1,853.875
7500000,1.5,0.65,3,2561.625
7500000,1.5,0.65,5,4269.375
7500000,1.5,0.7,1,914.25
7500000,1.5,0.7,3,2742.75
7500000,1.5,0.7,5,4571.25
7500000,1.5,0.75,1,974.625
7500000,1.5,0.75,3,2923.875
7500000,1.5,0.75,5,4873.125
7500000,1.5,0.8,1,1035
7500000,1.5,0.8,3,3105
7500000,1.5,0.8,5,5175
7500000,1.5,0.85,1,1095.375
7500000,1.5,0.85,3,3286.125
7500000,1.5,0.85,5,5476.875
7500000,1.9,0.5,1,956.013157894737
7500000,1.9,0.5,3,2868.03947368421
7500000,1.9,0.5,5,4780.06578947368
7500000,1.9,0.55,1,1041.80921052632
7500000,1.9,0.55,3,3125.42763157895
7500000,1.9,0.55,5,5209.04605263158
7500000,1.9,0.6,1,1127.60526315789
7500000,1.9,0.6,3,3382.81578947368
7500000,1.9,0.6,5,5638.02631578947
7500000,1.9,0.65,1,1213.40131578947
7500000,1.9,0.65,3,3640.20394736842
7500000,1.9,0.65,5,6067.00657894737
7500000,1.9,0.7,1,1299.19736842105
7500000,1.9,0.7,3,3897.59210526316
7500000,1.9,0.7,5,6495.98684210526
7500000,1.9,0.75,1,1384.99342105263
7500000,1.9,0.75,3,4154.98026315789
7500000,1.9,0.75,5,6924.96710526316
7500000,1.9,0.8,1,1470.78947368421
7500000,1.9,0.8,3,4412.36842105263
7500000,1.9,0.8,5,7353.94736842105
7500000,1.9,0.85,1,1556.58552631579
7500000,1.9,0.85,3,4669.75657894737
7500000,1.9,0.85,5,7782.92763157895
7500000,2.3,0.5,1,1140.75
7500000,2.3,0.5,3,3422.25
7500000,2.3,0.5,5,5703.75
7500000,2.3,0.55,1,1243.125
7500000,2.3,0.55,3,3729.375
7500000,2.3,0.55,5,6215.625
7500000,2.3,0.6,1,1345.5
7500000,2.3,0.6,3,4036.5
7500000,2.3,0.6,5,6727.5
7500000,2.3,0.65,1,1447.875
7500000,2.3,0.65,3,4343.625
7500000,2.3,0.65,5,7239.375
7500000,2.3,0.7,1,1550.25
7500000,2.3,0.7,3,4650.75
7500000,2.3,0.7,5,7751.25
7500000,2.3,0.75,1,1652.625
7500000,2.3,0.75,3,4957.875
7500000,2.3,0.75,5,8263.125
7500000,2.3,0.8,1,1755
7500000,2.3,0.8,3,5265
7500000,2.3,0.8,5,8775
7500000,2.3,0.85,1,1857.375
7500000,2.3,0.85,3,5572.125
7500000,2.3,0.85,5,9286.875
7500000,2.7,0.5,1,1270.75
7500000,2.7,0.5,3,3812.25
7500000,2.7,0.5,5,6353.75
7500000,2.7,0.55,1,1384.79166666667
7500000,2.7,0.55,3,4154.375
7500000,2.7,0.55,5,6923.95833333333
7500000,2.7,0.6,1,1498.83333333333
7500000,2.7,0.6,3,4496.5
7500000,2.7,0.6,5,7494.16666666667
7500000,2.7,0.65,1,1612.875
7500000,2.7,0.65,3,4838.625
7500000,2.7,0.65,5,8064.375
7500000,2.7,0.7,1,1726.91666666667
7500000,2.7,0.7,3,5180.75
7500000,2.7,0.7,5,8634.58333333333
7500000,2.7,0.75,1,1840.95833333333
7500000,2.7,0.75,3,5522.875
7500000,2.7,0.75,5,9204.79166666667
7500000,2.7,0.8,1,1955
7500000,2.7,0.8,3,5865
7500000,2.7,0.8,5,9775
7500000,2.7,0.85,1,2069.04166666667
7500000,2.7,0.85,3,6207.125
